TimeStamp;FrequencyInvert1(Hz);VoltageInvert1(V);CurrentInvert1(A);ActivePowerInvert1(W);ReactivePowerInvert1(VAr);FrequencyInvert2(Hz);VoltageInvert2(V);CurrentInvert2(A);ActivePowerInvert2(W);ReactivePowerInvert2(VAr)
2021_05_08 03:46:14;50,10;223,55;0,13;-0,00;0,03;50,10;224,75;0,13;-0,00;0,03
2021_05_08 03:46:19;50,10;223,59;0,13;-0,00;0,03;50,10;224,82;0,13;-0,00;0,03
2021_05_08 03:46:24;50,09;223,53;0,13;-0,00;0,03;50,09;224,83;0,13;-0,00;0,03
2021_05_08 03:46:29;50,09;223,61;0,13;-0,00;0,03;50,09;224,84;0,13;-0,00;0,03
2021_05_08 03:46:34;50,08;223,51;0,13;-0,00;0,03;50,08;224,83;0,13;-0,00;0,03
2021_05_08 03:46:39;50,08;223,52;0,13;-0,00;0,03;50,08;224,79;0,13;-0,00;0,03
2021_05_08 03:46:44;50,09;223,60;0,13;-0,00;0,03;50,08;224,91;0,13;-0,00;0,03
2021_05_08 03:46:49;50,07;223,53;0,13;-0,00;0,03;50,07;224,85;0,13;-0,00;0,03
2021_05_08 03:46:54;50,07;223,56;0,13;-0,00;0,03;50,07;224,86;0,13;-0,00;0,03
2021_05_08 03:46:59;50,08;223,73;0,13;-0,00;0,03;50,08;225,04;0,13;-0,00;0,03
2021_05_08 03:47:04;50,10;223,64;0,13;-0,00;0,03;50,10;224,92;0,13;-0,00;0,03
2021_05_08 03:47:09;50,10;223,68;0,13;-0,00;0,03;50,10;224,93;0,13;-0,00;0,03
2021_05_08 03:47:14;50,08;223,54;0,13;-0,00;0,03;50,08;224,83;0,13;-0,00;0,03
2021_05_08 03:47:19;50,08;223,75;0,13;-0,00;0,03;50,08;224,97;0,13;-0,00;0,03
2021_05_08 03:47:24;50,06;223,76;0,13;-0,00;0,03;50,06;224,98;0,13;-0,00;0,03
2021_05_08 03:47:29;50,06;223,72;0,13;-0,00;0,03;50,06;224,98;0,13;-0,00;0,03
2021_05_08 03:47:34;50,07;223,74;0,13;-0,00;0,03;50,07;225,01;0,13;-0,00;0,03
2021_05_08 03:47:39;50,08;223,81;0,13;-0,00;0,03;50,08;225,05;0,13;-0,00;0,03
2021_05_08 03:47:44;50,08;223,67;0,13;-0,00;0,03;50,08;224,96;0,13;-0,00;0,03
2021_05_08 03:47:49;50,07;223,65;0,13;-0,00;0,03;50,07;224,92;0,13;-0,00;0,03
2021_05_08 03:47:54;50,09;223,83;0,13;-0,00;0,03;50,09;225,10;0,13;-0,00;0,03
2021_05_08 03:47:59;50,10;223,75;0,13;-0,00;0,03;50,10;225,02;0,13;-0,00;0,03
2021_05_08 03:48:04;50,09;223,62;0,13;-0,00;0,03;50,09;224,91;0,13;-0,00;0,03
2021_05_08 03:48:09;50,08;223,75;0,13;-0,00;0,03;50,08;225,05;0,13;-0,00;0,03
2021_05_08 03:48:14;50,10;223,72;0,13;-0,00;0,03;50,10;225,04;0,13;-0,00;0,03
2021_05_08 03:48:19;50,11;223,63;0,13;-0,00;0,03;50,11;224,91;0,13;-0,00;0,03
2021_05_08 03:48:24;50,10;223,68;0,13;-0,00;0,03;50,10;224,99;0,13;-0,00;0,03
2021_05_08 03:48:29;50,10;223,65;0,13;-0,00;0,03;50,10;225,03;0,13;-0,00;0,03
2021_05_08 03:48:34;50,09;223,75;0,13;-0,00;0,03;50,10;225,04;0,13;-0,00;0,03
2021_05_08 03:48:39;50,11;223,73;0,13;-0,00;0,03;50,12;225,00;0,13;-0,00;0,03
2021_05_08 03:48:44;50,10;223,56;0,13;-0,00;0,03;50,10;224,89;0,13;-0,00;0,03
2021_05_08 03:48:49;50,10;223,73;0,13;-0,00;0,03;50,10;224,60;0,13;-0,00;0,03
2021_05_08 03:48:54;50,12;223,74;0,13;-0,00;0,03;50,12;225,05;0,13;-0,00;0,03
2021_05_08 03:48:59;50,12;223,59;0,13;-0,00;0,03;50,12;224,87;0,13;-0,00;0,03
2021_05_08 03:49:04;50,12;223,68;0,13;-0,00;0,03;50,12;224,98;0,13;-0,00;0,03
2021_05_08 03:49:09;50,11;223,87;0,13;-0,00;0,03;50,11;225,08;0,13;-0,00;0,03
2021_05_08 03:49:14;50,11;223,65;0,13;-0,00;0,03;50,11;224,89;0,13;-0,00;0,03
2021_05_08 03:49:19;50,12;223,85;0,13;-0,00;0,03;50,12;225,08;0,13;-0,00;0,03
2021_05_08 03:49:24;50,13;223,75;0,13;-0,00;0,03;50,13;225,03;0,13;-0,00;0,03
2021_05_08 03:49:29;50,12;223,57;0,13;-0,00;0,03;50,12;224,85;0,13;-0,00;0,03
2021_05_08 03:49:34;50,10;223,73;0,13;-0,00;0,03;50,10;225,00;0,13;-0,00;0,03
2021_05_08 03:49:39;50,10;223,60;0,13;-0,00;0,03;50,10;224,87;0,13;-0,00;0,03
2021_05_08 03:49:44;50,11;223,59;0,13;-0,00;0,03;50,11;224,86;0,13;-0,00;0,03
2021_05_08 03:49:49;50,11;223,66;0,13;-0,00;0,03;50,11;224,89;0,13;-0,00;0,03
2021_05_08 03:49:54;50,09;223,53;0,13;-0,00;0,03;50,09;224,77;0,13;-0,00;0,03
2021_05_08 03:49:59;50,10;223,62;0,13;-0,00;0,03;50,10;224,88;0,13;-0,00;0,03
2021_05_08 03:50:04;50,13;223,63;0,13;-0,00;0,03;50,12;224,85;0,13;-0,00;0,03
2021_05_08 03:50:09;50,14;223,61;0,13;-0,00;0,03;50,13;224,87;0,13;-0,00;0,03
2021_05_08 03:50:14;50,13;223,65;0,13;-0,00;0,03;50,13;224,90;0,13;-0,00;0,03
2021_05_08 03:50:19;50,14;223,62;0,13;-0,00;0,03;50,14;224,85;0,13;-0,00;0,03
2021_05_08 03:50:24;50,12;223,68;0,13;-0,00;0,03;50,12;224,97;0,13;-0,00;0,03
2021_05_08 03:50:29;50,11;223,59;0,13;-0,00;0,03;50,11;224,83;0,13;-0,00;0,03
2021_05_08 03:50:34;50,12;223,77;0,13;-0,00;0,03;50,12;225,02;0,13;-0,00;0,03
2021_05_08 03:50:39;50,13;223,64;0,13;-0,00;0,03;50,13;224,91;0,13;-0,00;0,03
2021_05_08 03:50:44;50,13;223,70;0,13;-0,00;0,03;50,13;224,95;0,13;-0,00;0,03
2021_05_08 03:50:49;50,13;223,69;0,13;-0,00;0,03;50,13;225,00;0,13;-0,00;0,03
2021_05_08 03:50:54;50,11;223,60;0,13;-0,00;0,03;50,11;224,89;0,13;-0,00;0,03
2021_05_08 03:50:59;50,11;223,68;0,13;-0,00;0,03;50,11;224,92;0,13;-0,00;0,03
2021_05_08 03:51:04;50,13;223,62;0,13;-0,00;0,03;50,13;224,93;0,13;-0,00;0,03
2021_05_08 03:51:09;50,14;223,76;0,13;-0,00;0,03;50,14;225,03;0,13;-0,00;0,03
2021_05_08 03:51:14;50,16;223,73;0,13;-0,00;0,03;50,16;224,97;0,13;-0,00;0,03
2021_05_08 03:51:19;50,15;223,74;0,13;-0,00;0,03;50,15;224,98;0,13;-0,00;0,03
2021_05_08 03:51:24;50,13;223,72;0,13;-0,00;0,03;50,13;225,03;0,13;-0,00;0,03
2021_05_08 03:51:29;50,13;223,65;0,13;-0,00;0,03;50,13;224,94;0,13;-0,00;0,03
2021_05_08 03:51:34;50,13;223,73;0,13;-0,00;0,03;50,13;225,02;0,13;-0,00;0,03
2021_05_08 03:51:39;50,13;223,52;0,13;-0,00;0,03;50,13;224,83;0,13;-0,00;0,03
2021_05_08 03:51:44;50,13;223,65;0,13;-0,00;0,03;50,13;224,82;0,13;-0,00;0,03
2021_05_08 03:51:49;50,14;223,57;0,13;-0,00;0,03;50,14;224,76;0,13;-0,00;0,03
2021_05_08 03:51:54;50,15;223,71;0,13;-0,00;0,03;50,15;224,88;0,13;-0,00;0,03
2021_05_08 03:51:59;50,15;223,69;0,13;-0,00;0,03;50,15;224,86;0,13;-0,00;0,03
2021_05_08 03:52:04;50,14;223,61;0,13;-0,00;0,03;50,14;224,78;0,13;-0,00;0,03
2021_05_08 03:52:09;50,14;223,54;0,13;-0,00;0,03;50,14;224,75;0,13;-0,00;0,03
2021_05_08 03:52:14;50,14;223,58;0,13;-0,00;0,03;50,14;224,80;0,13;-0,00;0,03
2021_05_08 03:52:19;50,14;223,68;0,13;-0,00;0,03;50,14;224,92;0,13;-0,00;0,03
2021_05_08 03:52:24;50,15;223,55;0,13;-0,00;0,03;50,15;224,75;0,13;-0,00;0,03
2021_05_08 03:52:29;50,14;223,53;0,13;-0,00;0,03;50,14;224,70;0,13;-0,00;0,03
2021_05_08 03:52:34;50,13;223,68;0,13;-0,00;0,03;50,13;224,93;0,13;-0,00;0,03
2021_05_08 03:52:39;50,14;223,56;0,13;-0,00;0,03;50,14;224,76;0,13;-0,00;0,03
2021_05_08 03:52:44;50,14;223,60;0,13;-0,00;0,03;50,14;224,80;0,13;-0,00;0,03
2021_05_08 03:52:49;50,14;223,59;0,13;-0,00;0,03;50,14;224,81;0,13;-0,00;0,03
2021_05_08 03:52:54;50,13;223,66;0,13;-0,00;0,03;50,13;224,87;0,13;-0,00;0,03
2021_05_08 03:52:59;50,13;223,62;0,13;-0,00;0,03;50,13;224,85;0,13;-0,00;0,03
2021_05_08 03:53:04;50,12;223,66;0,13;-0,00;0,03;50,12;224,89;0,13;-0,00;0,03
2021_05_08 03:53:09;50,12;223,63;0,13;-0,00;0,03;50,12;224,82;0,13;-0,00;0,03
2021_05_08 03:53:14;50,13;223,65;0,13;-0,00;0,03;50,13;224,82;0,13;-0,00;0,03
2021_05_08 03:53:19;50,14;223,65;0,13;-0,00;0,03;50,14;224,85;0,13;-0,00;0,03
2021_05_08 03:53:24;50,15;223,64;0,13;-0,00;0,03;50,15;224,82;0,13;-0,00;0,03
2021_05_08 03:53:29;50,13;223,65;0,13;-0,00;0,03;50,13;224,81;0,13;-0,00;0,03
2021_05_08 03:53:34;50,13;223,67;0,13;-0,00;0,03;50,13;224,88;0,13;-0,00;0,03
2021_05_08 03:53:39;50,14;223,66;0,13;-0,00;0,03;50,14;224,83;0,13;-0,00;0,03
2021_05_08 03:53:44;50,12;223,68;0,13;-0,00;0,03;50,12;224,79;0,13;-0,00;0,03
2021_05_08 03:53:49;50,10;223,63;0,13;-0,00;0,03;50,11;224,76;0,13;-0,00;0,03
2021_05_08 03:53:54;50,11;223,60;0,13;-0,00;0,03;50,11;224,83;0,13;-0,00;0,03
2021_05_08 03:53:59;50,13;223,58;0,13;-0,00;0,03;50,13;224,68;0,13;-0,00;0,03
2021_05_08 03:54:04;50,14;223,65;0,13;-0,00;0,03;50,14;224,80;0,13;-0,00;0,03
2021_05_08 03:54:09;50,13;223,61;0,13;-0,00;0,03;50,13;224,77;0,13;-0,00;0,03
2021_05_08 03:54:14;50,12;223,55;0,13;-0,00;0,03;50,12;224,68;0,13;-0,00;0,03
2021_05_08 03:54:19;50,11;223,57;0,13;-0,00;0,03;50,11;224,75;0,13;-0,00;0,03
2021_05_08 03:54:24;50,13;223,63;0,13;-0,00;0,03;50,13;224,83;0,13;-0,00;0,03
2021_05_08 03:54:29;50,14;223,69;0,13;-0,00;0,03;50,14;224,83;0,13;-0,00;0,03
2021_05_08 03:54:34;50,15;223,74;0,13;-0,00;0,03;50,15;224,87;0,13;-0,00;0,03
2021_05_08 03:54:39;50,15;223,73;0,13;-0,00;0,03;50,15;224,87;0,13;-0,00;0,03
2021_05_08 03:54:44;50,15;223,66;0,13;-0,00;0,03;50,15;224,80;0,13;-0,00;0,03
2021_05_08 03:54:49;50,15;223,59;0,13;-0,00;0,03;50,15;224,76;0,13;-0,00;0,03
2021_05_08 03:54:54;50,14;223,64;0,13;-0,00;0,03;50,14;224,79;0,13;-0,00;0,03
2021_05_08 03:54:59;50,14;223,55;0,13;-0,00;0,03;50,14;224,74;0,13;-0,00;0,03
2021_05_08 03:55:04;50,12;223,72;0,13;-0,00;0,03;50,12;224,87;0,13;-0,00;0,03
2021_05_08 03:55:09;50,13;223,65;0,13;-0,00;0,03;50,13;224,81;0,13;-0,00;0,03
2021_05_08 03:55:14;50,14;223,68;0,13;-0,00;0,03;50,14;224,80;0,13;-0,00;0,03
2021_05_08 03:55:19;50,15;223,80;0,13;-0,00;0,03;50,15;224,94;0,13;-0,00;0,03
2021_05_08 03:55:24;50,14;223,72;0,13;-0,00;0,03;50,14;224,87;0,13;-0,00;0,03
2021_05_08 03:55:29;50,14;223,92;0,13;-0,00;0,03;50,14;225,05;0,13;-0,00;0,03
2021_05_08 03:55:34;50,14;223,79;0,13;-0,00;0,03;50,14;224,94;0,13;-0,00;0,03
