TimeStamp;FrequencyInvert3(Hz);VoltageInvert3(V);CurrentInvert3(A);ActivePowerInvert3(W);ReactivePowerInvert3(VAr);FrequencyInvert4(Hz);VoltageInvert4(V);CurrentInvert4(A);ActivePowerInvert4(W);ReactivePowerInvert4(VAr);FrequencyInvert5(Hz);VoltageInvert5(V);CurrentInvert5(A);ActivePowerInvert5(W);ReactivePowerInvert5(VAr);FrequencyInvert6(Hz);VoltageInvert6(V);CurrentInvert6(A);ActivePowerInvert6(W);ReactivePowerInvert6(VAr)
2021_05_08 14:42:59;50,07;227,41;9,56;2,17;0,01;50,07;226,47;9,19;2,08;-0,00;50,07;225,45;9,40;2,12;-0,00;50,07;227,39;8,96;2,04;-0,00
2021_05_08 14:43:04;50,07;227,35;9,56;2,17;0,00;50,07;226,14;9,21;2,08;0,00;50,07;225,35;9,40;2,12;0,01;50,07;227,38;8,95;2,03;0,00
2021_05_08 14:43:09;50,07;227,52;9,55;2,17;0,00;50,07;226,31;9,21;2,08;-0,00;50,08;225,44;9,40;2,12;0,00;50,08;227,53;8,96;2,04;0,01
2021_05_08 14:43:14;50,06;227,37;9,55;2,17;0,01;50,05;226,50;9,20;2,08;-0,00;50,05;225,41;9,40;2,12;-0,00;50,05;227,42;8,96;2,04;0,00
2021_05_08 14:43:19;50,05;227,46;9,56;2,17;0,01;50,05;226,52;9,20;2,08;-0,01;50,05;225,44;9,40;2,12;-0,00;50,05;227,44;8,96;2,04;0,01
2021_05_08 14:43:24;50,06;227,35;9,55;2,17;-0,00;50,06;226,45;9,21;2,08;0,01;50,06;225,36;9,42;2,12;0,00;50,06;227,38;8,97;2,04;0,01
2021_05_08 14:43:29;50,07;227,38;9,57;2,17;0,00;50,07;226,59;9,20;2,08;-0,00;50,07;225,47;9,42;2,12;0,01;50,07;227,44;8,95;2,03;0,00
2021_05_08 14:43:34;50,08;227,44;9,56;2,17;0,00;50,08;226,57;9,21;2,08;-0,01;50,08;225,46;9,39;2,12;-0,01;50,08;227,42;8,95;2,03;-0,00
2021_05_08 14:43:39;50,09;227,39;9,58;2,18;0,02;50,09;226,52;9,21;2,08;-0,00;50,09;225,45;9,40;2,12;0,00;50,09;227,39;8,96;2,04;-0,01
2021_05_08 14:43:44;50,08;227,26;9,57;2,17;0,00;50,08;226,39;9,21;2,08;0,00;50,08;225,30;9,41;2,12;0,01;50,08;227,28;8,96;2,03;0,00
2021_05_08 14:43:49;50,07;227,36;9,55;2,17;-0,01;50,07;226,46;9,21;2,08;-0,00;50,07;225,42;9,40;2,12;0,00;50,07;227,36;8,95;2,03;-0,01
2021_05_08 14:43:54;50,07;227,39;9,58;2,18;0,02;50,07;226,48;9,22;2,09;0,00;50,07;225,43;9,41;2,12;0,01;50,07;227,39;8,96;2,04;0,01
2021_05_08 14:43:59;50,07;227,39;9,53;2,17;0,01;50,07;226,57;9,20;2,08;0,00;50,07;225,45;9,41;2,12;0,00;50,07;227,39;8,96;2,04;0,00
2021_05_08 14:44:04;50,10;227,41;9,57;2,18;-0,00;50,10;226,61;9,20;2,08;0,00;50,10;225,48;9,41;2,12;0,00;50,10;227,41;8,95;2,03;-0,00
2021_05_08 14:44:09;50,10;227,50;9,57;2,17;0,00;50,10;226,65;9,21;2,08;-0,00;50,10;225,79;9,38;2,12;0,00;50,10;227,52;8,94;2,03;-0,00
2021_05_08 14:44:14;50,09;227,41;9,57;2,17;0,00;50,09;226,50;9,22;2,09;-0,00;50,09;225,45;9,39;2,12;0,01;50,09;227,39;8,95;2,03;0,01
2021_05_08 14:44:19;50,09;227,38;9,58;2,18;0,00;50,09;226,49;9,21;2,08;-0,00;50,09;225,46;9,39;2,12;0,00;50,09;227,46;8,96;2,04;0,01
2021_05_08 14:44:24;50,09;227,39;9,57;2,18;0,01;50,09;226,54;9,22;2,09;0,01;50,09;225,46;9,39;2,12;0,02;50,09;227,44;8,95;2,03;0,01
2021_05_08 14:44:29;50,09;227,37;9,58;2,18;0,00;50,09;226,53;9,21;2,08;-0,00;50,09;225,43;9,40;2,12;0,01;50,09;227,35;8,95;2,03;0,01
2021_05_08 14:44:34;50,07;227,53;9,58;2,18;0,01;50,07;226,62;9,22;2,09;0,01;50,07;225,54;9,39;2,12;0,00;50,06;227,56;8,94;2,03;0,00
2021_05_08 14:44:39;50,06;227,47;9,58;2,18;0,01;50,06;226,63;9,22;2,09;-0,00;50,06;225,48;9,40;2,12;0,01;50,06;227,46;8,93;2,03;0,00
2021_05_08 14:44:44;50,06;227,40;9,57;2,18;-0,00;50,06;226,55;9,22;2,09;-0,00;50,06;225,48;9,38;2,11;0,01;50,06;227,43;8,93;2,03;0,00
2021_05_08 14:44:49;50,06;227,44;9,56;2,17;-0,01;50,06;226,58;9,22;2,09;-0,01;50,06;225,59;9,37;2,11;0,00;50,06;227,50;8,94;2,03;0,01
2021_05_08 14:44:54;50,06;227,51;9,58;2,18;0,00;50,06;226,63;9,22;2,09;-0,01;50,06;225,54;9,37;2,11;-0,00;50,06;227,47;8,93;2,03;-0,00
2021_05_08 14:44:59;50,06;227,42;9,58;2,18;0,00;50,06;226,58;9,21;2,09;0,00;50,06;225,56;9,36;2,11;0,00;50,06;227,44;8,94;2,03;0,00
2021_05_08 14:45:04;50,03;227,20;9,58;2,18;0,01;50,03;226,32;9,22;2,09;0,01;50,03;225,28;9,38;2,11;0,01;50,03;227,25;8,95;2,03;0,02
2021_05_08 14:45:09;50,01;227,27;9,60;2,18;0,00;50,01;226,38;9,21;2,08;0,00;50,01;225,31;9,39;2,11;0,01;50,01;227,31;8,94;2,03;0,02
2021_05_08 14:45:14;50,01;227,24;9,61;2,18;0,00;50,01;226,41;9,23;2,09;0,00;50,01;225,33;9,38;2,11;0,01;50,01;227,30;8,93;2,03;0,00
2021_05_08 14:45:19;50,02;227,27;9,60;2,18;-0,00;50,02;226,44;9,23;2,09;0,00;50,02;225,30;9,39;2,12;0,01;50,02;227,30;8,94;2,03;0,01
2021_05_08 14:45:24;49,98;227,23;9,60;2,18;0,00;49,98;226,39;9,24;2,09;0,01;49,98;225,31;9,38;2,11;0,00;49,98;227,23;8,94;2,03;0,00
2021_05_08 14:45:29;49,98;227,26;9,60;2,18;0,00;49,98;226,35;9,23;2,09;-0,01;49,98;225,35;9,38;2,11;0,01;49,98;227,25;8,94;2,03;0,00
2021_05_08 14:45:34;50,01;227,36;9,61;2,18;0,01;50,01;226,44;9,22;2,09;0,00;50,01;225,32;9,37;2,11;-0,01;50,01;227,28;8,94;2,03;0,01
2021_05_08 14:45:39;50,03;227,32;9,62;2,18;0,01;50,03;226,42;9,23;2,09;0,00;50,03;225,32;9,38;2,11;-0,00;50,03;227,31;8,93;2,03;-0,00
2021_05_08 14:45:44;50,02;227,33;9,61;2,18;0,00;50,02;226,42;9,22;2,09;0,00;50,02;225,29;9,38;2,11;0,01;50,02;227,25;8,94;2,03;0,01
2021_05_08 14:45:49;50,02;227,20;9,62;2,18;0,00;50,02;226,32;9,25;2,09;-0,00;50,02;225,26;9,38;2,11;0,01;50,02;227,20;8,94;2,03;-0,00
2021_05_08 14:45:54;50,05;227,18;9,62;2,19;-0,00;50,05;226,33;9,26;2,09;-0,01;50,05;225,28;9,36;2,11;-0,01;50,05;227,28;8,93;2,03;0,00
2021_05_08 14:45:59;50,04;227,22;9,62;2,19;0,01;50,04;226,35;9,25;2,09;0,00;50,04;225,23;9,38;2,11;0,00;50,04;227,21;8,93;2,03;0,01
2021_05_08 14:46:04;50,01;227,16;9,63;2,19;0,01;50,01;226,28;9,25;2,09;0,01;50,00;225,21;9,39;2,11;0,01;50,00;227,16;8,94;2,03;0,02
